City,Crime Index
Lodi,1986
Lakeport,1996
King City,1997
Yreka,1999
Pismo Beach,2000
Avalon,2009
Oakdale,2010
Madera,2011
California City,2011
Nevada City,2023
Riverside,2030
Porterville,2036
Watsonville,2040
Del Mar,2043
Lancaster,2050
Adelanto,2056
Monterey,2061
Hayward,2069
Sanger,2087
Brawley,2097
Indio,2098
Ceres,2108
Jackson,2121
Paramount,2123
Hawthorne,2137
Crescent City,2146
Grass Valley,2151
Ukiah,2179
Atwater,2188
Pomona,2190
Lynwood,2194
Signal Hill,2195
Delano,2234
Pinole,2248
Fort Bragg,2261
National City,2267
Coachella,2269
Alturas,2283
Huron,2293
Victorville,2303
Inglewood,2306
Corning,2339
Parlier,2348
Redding,2350
Turlock,2368
Visalia,2375
Needles,2393
Arvin,2445
Hemet,2447
Salinas,2476
El Cerrito,2491
San Leandro,2493
Weed,2522
El Centro,2530
Bakersfield,2535
Antioch,2558
Fresno,2582
Merced,2596
Dos Palos,2600
West Hollywood,2606
Isleton,2609
Clearlake,2641
Huntington Park,2643
Tulare,2649
Selma,2649
Montclair,2680
Gridley,2684
Dinuba,2697
Anderson,2722
East Palo Alto,2731
San Francisco,2735
Berkeley,2793
Modesto,2815
Santa Cruz,2817
Big Bear Lake,2869
Sacramento,2943
Marysville,2951
Palm Springs,2980
Capitola,3003
Barstow,3129
Red Bluff,3188
Vallejo,3297
Eureka,3312
San Bernardino,3351
San Pablo,3393
Compton,3473
Trinidad,3496
Orange Cove,3517
Sonora,3527
Santa Fe Springs,3688
Richmond,3769
Stockton,3947
Oroville,4034
Desert Hot Springs,4186
Commerce,4221
Blue Lake,4321
Oakland,5053
Emeryville,6041
Colma,6413
Irwindale,7576
Sand City,12157
Industry,126554
Vernon,199187
